,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
358,Rocha,35,UY,1562384082,76,-34.48,-54.34,41.99,8.81
359,Broome,0,GB,1562384083,93,52.47,1.45,60.01,3.36
360,Dallas,1,US,1562383797,74,32.78,-96.8,88.0,3.36
361,Aquiraz,40,BR,1562383808,74,-3.9,-38.39,86.0,5.82
362,Lagunas,47,PE,1562384085,92,-5.23,-75.68,72.77,2.68
363,Stephenville,20,CA,1562384087,82,48.55,-58.59,59.0,4.7
364,Srednekolymsk,100,RU,1562384088,68,67.46,153.71,62.69,13.76
365,Saint-Louis,95,SN,1562384089,83,16.03,-16.5,73.13,9.17
366,Great Yarmouth,31,GB,1562384090,93,52.61,1.73,59.0,3.36
367,Erzin,0,TR,1562384090,69,36.95,36.2,79.0,17.22
368,Pangnirtung,90,CA,1562384090,100,66.15,-65.72,37.4,12.75
